author,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
8428869,0,0,0,1,1,0,1,0,8
8437691,1,1,0,1,1,0,0,0,26
5766697,0,0,1,0,1,0,1,0,1
1721987,0,1,0,1,1,0,1,0,0
4242236,0,0,0,0,1,0,1,0,0
8708803,1,0,0,1,1,1,1,0,1
4387978,0,0,0,0,1,0,1,1,0
3824262,0,0,0,1,1,0,1,0,3
7402639,0,0,1,0,1,0,1,0,4
8334258,0,0,0,0,1,0,0,0,123
3948053,0,0,1,0,0,0,0,0,0
4503464,0,0,1,0,1,0,1,0,0
3053853,0,0,0,1,0,0,0,0,0
4930369,0,0,0,1,1,0,1,0,0
1614413,0,0,0,0,1,0,1,0,3
4515113,0,0,0,1,1,0,0,0,4
6322816,0,0,1,1,1,1,0,0,0
2241774,0,0,0,1,1,1,0,1,0
1161979,0,0,0,1,1,0,0,1,14
5263467,0,0,0,1,1,0,0,0,1
2468365,0,0,0,1,0,0,0,0,2
4503464,0,0,1,0,0,0,0,0,0
4165114,0,0,0,1,1,1,0,0,1
5626050,0,0,0,1,1,1,0,1,0
4515113,0,0,0,1,1,0,0,0,1
7749593,0,0,0,0,0,0,1,0,1
5133964,0,0,1,0,0,0,0,0,0
5626050,0,0,0,1,1,1,0,1,0
2241774,0,0,0,1,1,1,0,1,0
4515113,0,0,0,1,1,0,0,0,3
4910818,0,0,0,1,0,0,0,0,0
4515113,0,0,0,1,1,0,0,0,8
1200445,0,0,1,0,1,0,0,0,0
6891254,0,0,1,0,0,0,0,0,0
9124257,0,0,1,1,0,0,0,0,2
9228249,0,0,1,0,1,0,1,1,2
7370988,0,0,0,0,0,0,0,0,0
9129675,0,1,0,0,1,0,1,0,0
4720934,0,1,0,1,0,1,0,0,0
285360,0,0,1,0,0,0,1,1,0
8321830,0,0,1,0,0,0,0,0,0
5874299,0,0,0,1,1,1,0,1,0
6208090,0,0,0,0,0,0,1,0,0
698230,0,0,0,0,1,0,0,0,0
658730,0,0,0,1,1,0,0,0,0
3089090,1,0,0,1,0,0,1,1,1
8724631,0,0,1,0,0,0,0,0,0
6742748,0,0,0,1,1,1,0,0,0
7254569,0,1,1,0,0,1,0,0,0
6742748,0,0,0,1,1,1,0,0,0
5720152,0,0,0,0,0,0,1,0,0
5806878,0,0,1,0,1,0,0,0,0
8484231,0,0,1,0,1,0,1,0,0
2301492,0,1,1,0,0,0,0,0,0
1219847,0,0,1,1,1,0,1,0,0
9038992,0,0,0,0,0,0,0,0,0
5424484,0,0,0,0,1,0,0,0,0
9042606,0,0,1,0,1,0,0,1,0
2762543,0,0,0,1,1,1,1,0,0
2554358,0,0,1,0,0,0,1,0,0
3970710,0,0,0,0,1,0,0,0,0
7628783,0,0,0,0,1,0,1,0,0
3086774,0,0,1,0,0,0,0,0,0
8860949,0,0,1,1,0,0,1,1,122
3777336,0,0,0,0,0,0,0,0,6
6007109,0,0,0,0,0,0,0,0,0
8437691,1,1,0,1,0,0,1,1,5
7312343,0,1,0,1,1,0,1,0,13
7696022,0,0,1,1,1,0,0,0,0
9010648,0,0,0,1,0,1,1,0,0
4515113,0,0,0,1,1,0,0,1,11
4515113,0,0,0,1,1,0,0,1,6
9199286,0,0,0,1,0,1,0,1,10
551416,0,0,1,1,1,0,1,0,1
8437691,1,1,0,1,0,0,1,1,57
3631710,0,0,1,0,1,0,1,0,0
7462620,0,0,1,0,1,0,1,0,1
820600,0,0,1,0,0,1,1,0,2
7284920,0,0,0,0,1,0,1,0,0
6742748,0,0,0,1,1,1,0,0,0
3886407,0,0,0,0,1,0,1,0,0
7254569,0,1,1,0,0,1,0,0,0
7622277,0,0,0,1,1,1,1,0,0
2851834,0,0,1,1,1,0,1,0,11
8404848,0,0,0,0,0,0,1,1,0
8437691,1,1,0,1,1,0,1,1,2
3010479,0,0,1,1,1,0,1,0,4
3693450,0,1,0,1,1,0,0,1,3
4766672,0,0,1,0,0,0,0,0,0
7283197,0,1,1,0,1,1,0,0,0
8437691,1,1,0,1,0,0,0,1,6
8028668,0,0,0,0,1,0,1,0,0
1644519,0,0,0,1,1,0,1,0,0
3818477,0,0,0,1,0,0,0,0,2
1559022,0,0,0,0,1,0,0,0,13
4080494,0,0,1,0,1,0,0,0,1
2038979,0,0,0,1,0,1,0,0,2
1559022,0,0,0,0,1,0,1,0,16
6208090,0,0,0,0,1,0,1,0,1
-1,0,1,0,0,0,0,0,0,0
1609737,0,0,1,1,1,0,1,0,0
5156723,0,0,0,1,1,0,0,1,11
7550270,0,0,0,1,0,0,0,0,0
2900953,0,0,1,1,0,0,0,0,0
8428869,0,0,0,1,0,0,0,0,7
8437691,1,1,0,1,1,0,1,1,44
8207301,0,1,0,1,0,1,1,0,0
1559022,0,0,0,0,1,0,1,0,5
6602777,0,0,0,1,1,0,1,0,0
1559022,0,0,0,0,0,0,0,0,86
6244880,0,0,0,0,1,1,0,0,1
7922980,1,1,0,1,0,1,0,0,0
8651247,0,0,0,1,1,0,0,0,0
6883438,0,0,0,1,0,0,1,0,0
7098697,0,0,0,1,0,1,0,1,7
6590105,0,0,1,0,1,0,0,1,0
3565056,0,1,0,1,1,0,0,0,0
3254294,0,0,1,1,1,1,1,0,0
2848252,0,0,0,0,0,0,1,0,0
5626050,0,0,0,1,1,1,0,1,0
4515113,0,0,0,1,1,0,0,0,1
277832,0,1,0,0,1,0,1,1,0
2241774,0,0,0,1,1,1,0,1,0
4515113,0,0,0,1,1,0,0,0,0
285360,0,0,1,0,0,0,1,0,0
2370930,0,0,0,1,1,0,0,0,1
3777336,0,0,0,0,0,0,0,0,0
4515113,0,0,0,1,1,0,0,0,0
4789177,0,0,0,0,0,0,0,0,0
4515113,0,0,0,1,1,0,0,0,3
2570418,0,0,0,1,1,0,1,0,3
3638013,0,0,0,1,1,0,1,0,1
3638663,0,0,1,0,0,0,1,0,0
7283197,0,1,1,0,1,0,1,0,0
2229006,0,0,1,0,1,0,0,0,0
8608869,0,0,1,0,0,0,0,0,1
1247080,0,0,0,0,1,0,1,1,0
4017532,0,0,1,0,0,0,1,0,1
6459397,0,0,0,1,1,0,0,0,1
6827203,0,0,1,0,0,0,1,0,0
873942,0,1,1,1,0,1,0,1,0
88624,0,0,0,1,1,0,1,0,2
1879306,0,0,1,0,0,0,0,0,0
2229006,0,0,1,0,1,0,1,1,2
2096635,1,0,0,1,1,1,1,0,5
8437691,1,1,0,1,0,0,1,0,6
8437691,1,1,0,1,0,0,1,0,1
8404848,0,0,0,0,0,1,1,0,5
8244313,0,0,1,0,0,0,1,0,0
8589395,0,0,1,0,0,0,1,1,1
1440795,0,0,1,0,0,0,0,0,0
